萬年班表,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
LB07-1,R,R,7早,9早,7早,7午,R,R,7早,9早,7午,9午,R,R,7早,7早,7早,7早,7早,R,7早,7午,7午,7午,7午,R,7早,7早,7早,7早,7早,R,R,7午,7午,7午,8夜,8夜,R,R,9午,7午,7午,,R,R,7午,7午,8夜,8夜,R,R,7午,7午,8夜,8夜
LB07-2,9午,R,R,7早,7午,9午,7午,R,R,7早,7早,7早,7早,7早,R,7午,7午,8夜,,7早,R,7早,7早,7早,8夜,8夜,R,R,7午,7午,9午,8夜,8夜,R,R,7早,7午,9午,8夜,R,R,7早,7早,7午,7午,R,R,7早,7午,7午,7午,R,R,7早,7早,9早
LB07-3,7午,7午,R,R,9早,9早,9早,7早,8夜,R,8夜,,7午,7午,7午,R,9午,7午,7午,7午,7午,R,R,9早,7早,7早,8夜,8夜,R,R,7午,7午,7午,8夜,R,R,7早,7早,7早,7早,R,R,9早,9早,9早,7午,R,R,7早,9早,8午,7午,R,R,7午,7午
LB07-4,7早,7早,7午,7午,R,7早,7早,7午,7午,7午,R,7午,9午,9午,9午,9午,R,R,8夜,8夜,8夜,8夜,8夜,R,R,7午,7午,7午,,R,R,7早,7早,7早,7早,R,R,7午,7午,7午,7午,R,R,7早,7早,7早,7早,R,R,7早,7早,7早,7早,R,R,7早
LB08-1,8早,8早,8早,8早,8早,R,R,8午,8午,8午,8午,8午,R,R,8早,8早,8早,8早,R,R,8早,8午,8午,8夜,R,R,8早,8早,8夜,8夜,R,R,8午,8午,8夜,8夜,R,R,8午,9午,8午,8夜,R,R,8早,8午,8午,8午,8午,R,8早,8早,8早,8早,9早,R
LB08-2,R,R,8午,8午,8夜,8夜,8夜,R,R,8早,9早,8夜,8夜,R,R,8午,8午,8午,9午,R,R,8早,8早,,8早,R,R,8午,8午,9午,8夜,R,R,8早,8早,8早,8午,R,R,8早,8早,8早,8早,8早,R,8早,8早,8早,9午,8午,R,8午,8午,8午,8午,8午
LB08-3,8夜,8夜,R,R,8午,8午,8午,8夜,R,R,8早,8早,8早,8早,R,R,9早,9早,8早,8早,R,R,9早,8早,9早,8早,R,R,8早,8午,8午,8午,R,R,8午,8午,9午,8午,9午,R,7早,9午,8午,8午,8午,R,8夜,8夜,,9午,8夜,R,R,9早,8早,8早
LB08-4,8午,8午,8夜,R,R,8早,8早,8早,8早,R,R,9早,8午,8午,8午,R,R,9午,8午,8午,8午,R,R,8午,8午,8午,8午,R,R,8早,8早,8早,8早,,R,9早,8早,8早,8早,8午,R,8午,9午,8夜,8夜,8夜,R,R,8早,8早,9早,8夜,8夜,R,R,9午
LB09-1,9早,9早,9早,8夜,R,R,9午,9午,9午,8夜,R,R,9早,9早,9早,9早,R,R,9早,9早,9早,9早,R,R,9午,9午,9午,9午,9午,R,9早,9早,9早,9早,9早,R,9早,9早,,8夜,8夜,R,R,9午,9午,9午,9午,9午,R,R,9午,9午,9午,8夜,R,R
LB09-2,R,9午,9午,9午,9午,R,R,9早,9早,9午,9午,R,R,8夜,8夜,8夜,8夜,R,R,9午,9午,9午,9午,9午,R,9早,9早,9早,9早,9早,R,9午,9午,9午,9午,9午,R,R,9早,9早,9早,9早,8夜,R,R,9早,9早,9早,9早,R,R,9早,9早,9午,9午,R
LB10-1,12夜,12夜,12夜,12夜,R,R,10早,10早,10早,10早,10早,R,10午,10午,11午,10午,10午,R,10早,10午,10午,10午,12夜,R,R,10午,10午,10午,10午,10午,R,R,10早,10早,10早,10早,R,R,10早,10午,10午,10午,R,R,10早,11早,12早,11午,R,R,10早,10早,10早,12夜,R,R
LB10-2,R,10早,10早,10早,10早,10早,R,R,10午,12夜,12夜,12夜,12夜,R,R,10早,10早,10早,11午,R,R,11午,10午,10午,10午,R,R,10早,10早,10早,10早,R,R,10午,10午,10午,10午,R,R,10早,10早,12夜,12夜,R,R,10早,10早,10午,10午,11午,R,11早,10午,10午,10午,10午
LB10-3,10早,10午,R,R,10午,10午,10午,10午,12夜,R,R,10早,10早,10早,10午,R,R,10午,10午,11午,12夜,R,R,12夜,12夜,12夜,12夜,R,R,12早,10午,10午,10午,R,R,11早,10早,10早,10午,R,R,10早,10早,10早,11早,10午,R,10早,10早,10午,10午,10午,R,10早,10早,10早
LB11-1,11早,R,R,11早,11午,12午,12夜,R,R,11午,10午,11午,11午,R,R,11早,11早,12早,11早,11早,R,10早,12午,12午,11午,11午,R,11午,12夜,12夜,12夜,12夜,R,R,12午,11午,11午,10午,11午,R,R,11早,11早,11午,12夜,R,R,11早,11早,11早,11早,R,R,11早,12早,11早
LB11-2,R,11早,11午,10午,12夜,R,R,11早,11早,12早,11早,R,R,11早,10早,11午,12夜,R,R,10早,11早,11早,11午,R,R,11早,10早,11早,11早,11早,R,11午,11午,12午,11午,12午,R,11早,11早,11午,11午,11午,R,R,11午,12夜,12夜,12夜,12夜,R,R,11午,11午,12午,12夜,R
LB11-3,12早,12早,12早,12早,R,R,11午,12午,11午,10午,R,R,11早,12夜,12夜,12夜,R,R,12早,12早,12早,12夜,R,R,12午,12午,11午,12午,R,R,12早,10早,12夜,12夜,R,R,12早,12早,12早,12早,11早,R,12早,10午,12午,12午,11午,R,12午,12午,12午,12午,12午,R,R,12早
LB12-1,10午,12午,10午,R,R,12早,12早,12早,12午,R,R,10午,12午,12午,12午,12午,R,12午,12午,12午,12午,12午,R,12早,11早,10早,12午,12夜,R,R,11早,12早,12早,11早,11早,R,R,12夜,12夜,12夜,12夜,R,R,12早,12早,12早,12午,R,R,10早,12早,12早,12夜,R,R,12午
LB12-2,R,R,12午,12午,12午,12夜,R,R,12早,12午,12午,12午,R,R,12早,12早,12早,11午,R,R,10早,12早,10早,11早,12早,R,12早,12早,12早,11午,12午,R,11早,12早,12夜,12夜,12夜,R,R,12午,12午,12午,12午,12夜,R,R,10午,12午,11午,12夜,R,R,12早,12早,12午,12夜
LB12-3,12午,11午,R,R,12早,11早,12午,12夜,R,R,12早,12早,12早,12早,R,R,12午,12夜,12夜,12夜,R,R,12早,10早,10早,12早,R,R,12午,12午,11午,12午,12午,R,12早,12早,12午,12午,12午,R,12早,12早,10午,12午,10午,R,R,12早,12早,12早,12夜,12夜,R,R,11午,11午
